"date","close","volume","open","high","low"
"2017/12/20","49.0544","0.0000","49.0544","49.0544","49.0544"
"2017/12/19","49.0544","366.0000","49.0544","49.0544","49.0544"
"2017/12/18","48.2000","0.0000","48.2000","48.2000","48.2000"
"2017/12/15","48.2000","0.0000","48.2000","48.2000","48.2000"
"2017/12/14","48.2000","200.0000","48.2000","48.2000","48.2000"
"2017/12/13","48.1100","485.0000","47.6000","48.1100","47.6000"
"2017/12/12","46.8400","0.0000","46.8400","46.8400","46.8400"
"2017/12/11","46.8400","342.0000","46.8700","46.8700","46.8400"
"2017/12/08","46.0650","100.0000","46.0650","46.0650","46.0650"
"2017/12/07","45.0350","0.0000","45.0350","45.0350","45.0350"
"2017/12/06","45.0350","0.0000","45.0350","45.0350","45.0350"
"2017/12/05","45.0350","580.0000","44.6900","45.0350","44.6900"
"2017/12/04","46.4200","1169.0000","46.5000","46.5600","46.4200"
"2017/12/01","45.2000","128.0000","45.2000","45.2000","45.2000"
"2017/11/30","45.2100","159.0000","45.2100","45.2100","45.2100"
"2017/11/29","46.0000","172.0000","46.0000","46.0000","46.0000"
"2017/11/28","45.7000","829.0000","46.7120","46.8500","45.7000"
"2017/11/27","46.7500","0.0000","46.7500","46.7500","46.7500"
"2017/11/24","46.7500","0.0000","46.7500","46.7500","46.7500"
"2017/11/22","46.7500","121.0000","46.7500","46.7500","46.7500"
"2017/11/21","46.1500","505.0000","46.7450","46.7450","46.1500"
"2017/11/20","45.7900","0.0000","45.7900","45.7900","45.7900"
"2017/11/17","45.7900","0.0000","45.7900","45.7900","45.7900"
"2017/11/16","45.7900","253.0000","45.4625","45.7900","45.4625"
"2017/11/15","45.3300","325.0000","45.1700","45.3300","45.1700"
"2017/11/14","45.1900","101.0000","45.1900","45.1900","45.1900"
"2017/11/13","46.0500","124.0000","46.0500","46.0500","46.0500"
"2017/11/10","44.7700","0.0000","44.7700","44.7700","44.7700"
"2017/11/09","44.7700","0.0000","44.7700","44.7700","44.7700"
"2017/11/08","44.7700","1654.0000","45.2500","45.2500","44.7400"
"2017/11/07","43.2550","53646.0000","43.2550","43.2550","43.2550"
"2017/11/06","43.0400","813.0000","43.0400","43.0400","43.0400"
"2017/11/03","43.0350","100.0000","43.0350","43.0350","43.0350"
"2017/11/02","40.5600","0.0000","40.5600","40.5600","40.5600"
"2017/11/01","40.5600","0.0000","40.5600","40.5600","40.5600"
"2017/10/31","40.5600","500.0000","40.5300","40.5600","40.5300"
"2017/10/30","39.9400","468.0000","39.5520","39.9400","39.4500"
"2017/10/27","39.5000","250.0000","39.9200","39.9200","39.5000"
"2017/10/26","38.5800","0.0000","38.5800","38.5800","38.5800"
